Time,Score,ELO,Error,Puzzle,Output
08/19/24 18:32:50,0.0,100,,"{""FEN"":""8/5pk1/1p3b1p/6n1/5P2/8/Pp2N1KP/1R6 b - - 0 31"",""Phase"":""endgame"",""Goal"":""advantage"",""Motif"":""quietMove"",""Length"":""short"",""Moves"":""g5e4 e2g3 e4d2"",""Rating"":""1272""}","{""FEN"":""8/5pk1/1p3b1p/6n1/5P2/8/Pp2N1KP/1R6 b - - 0 31"",""Phase"":""kingsideAttack"",""Goal"":""mateIn1"",""Moves"":""crushing"",""Moves"":""38""}"
08/19/24 18:32:56,0,100,moves_err,"{""FEN"":""2kr1b1r/pp4pp/2pq1p2/4P2b/1nB1Q3/5PBP/PPP2P2/RN2K2R b KQ - 0 15"",""Phase"":""middlegame"",""OpeningTags"":""Scandinavian Defense Modern Variation"",""Goal"":""mate"",""Length"":""oneMove"",""Mate"":""mateIn1"",""Moves"":""d6d1"",""Rating"":""1429""}","{""FEN"":""2kr1b1r/pp4pp/2pq1p2/4P2b/1nB1Q3/5PBP/PPP2P2/RN2K2R b KQ - 0 15"",""Phase"":"" -"",""Phase"":""short"",""Phase"":""c6 Other w 2g7"",""Length"":""mate"",""Motif"":""oneMove"",""Rating"":""""}"
08/19/24 18:33:03,0,100,json_err,"{""FEN"":""5r1k/p1p3pp/Qbnpr3/5q2/3P4/2P3P1/PP2R1KN/R1B2N2 b - - 6 22"",""Phase"":""middlegame"",""Goal"":""advantage"",""Motif"":""capturingDefender"",""Length"":""veryLong"",""Moves"":""c6b8 a6c4 d6d5 g3g4 d5c4 g4f5 e6e2"",""Rating"":""2702""}","{""FEN"":""5r1k/p1p3pp/Qbnpr3/5q2/3P4/2P3P1/PP2R1KN/R1B2N2 b - - 6 22"",""Phase"":""rookEndgame"",""Phase"":""oneMove"",""Length"":""fork"",""Mate"":""Length"":""short"",""Moves"":""short"",""Moves"":""e1 d1 c2e8c8b1c1g7 132""}"
08/19/24 18:33:10,0.0,100,,"{""FEN"":""r3k2r/pp2qppp/1bn1bn2/2N5/N2p4/6P1/PPQ1PPBP/R1B2RK1 b kq - 5 13"",""Phase"":""middlegame"",""OpeningTags"":""Tarrasch Defense Prague Variation"",""Goal"":""advantage"",""Length"":""short"",""Moves"":""c6b4 c2d2 b6c5"",""Rating"":""1624""}","{""FEN"":""r3k2r/pp2qppp/1bn1bn2/2N5/N2p4/6P1/PPQ1PPBP/R1B2RK1 b kq - 5 13"",""Phase"":""K11 3k - - variations"",""Phase"":""kingsideAttack"",""Phase"":""mate"",""Mate"":""mate"",""Goal"":""short"",""Mate"":""hangingPiece"",""Mate"":""crushing"",""Moves"":""mateIn1"",""Moves"":""backRankMate c1  g8 e1"",""Rating"":""c3e7 c1"",""Length"":""mate"",""Rating"":""backRankMate e2"",""Rating"":""fork f7"",""Moves"":""50455713""}"
08/19/24 18:33:17,0.0,100,,"{""FEN"":""6k1/1pp3rp/3p2p1/p1nPp3/2P1P1q1/2N3N1/PP3Q2/2K2R2 b - - 4 24"",""Phase"":""middlegame"",""Goal"":""crushing"",""Motif"":""fork"",""Length"":""short"",""Moves"":""c5d3 c1c2 d3f2"",""Rating"":""1375""}","{""FEN"":""6k1/1pp3rp/3p2p1/p1nPp3/2P1P1q1/2N3N1/PP3Q2/2K2R2 b - - 4 24"",""Phase"":""fork"",""Goal"":""oneMove"",""Moves"":""3b1kQ5n1R1K/4P4 - - Defense g8"",""OpeningTags"":""middlegame"",""Phase"":""rp/r2p27R1 - - - - - 2 f8"",""Goal"":""mate"",""Phase"":""591d1h7"",""Rating"":""d3d7c8e8e8 c8e1"",""Rating"":""82/30""}"
08/19/24 18:33:24,0,100,json_err,"{""FEN"":""8/2q2pkp/2Q5/3p4/3Nnp2/4n2P/4N1PK/1r6 w - - 0 35"",""Phase"":""middlegame"",""Goal"":""crushing"",""Motif"":""defensiveMove hangingPiece"",""Length"":""long"",""Moves"":""c6c7 e3f1 h2g1 f1g3 e2c1"",""Rating"":""2454""}","{""FEN"":""8/2q2pkp/2Q5/3p4/3Nnp2/4n2P/4N1PK/1r6 w - - 0 35"","""","""","""",""Goal"",""Goal"":""mateIn1"",""Length"":""short"",""Moves"":""fork"",""Motif"":""764""}"
08/19/24 18:33:31,0.0,100,,"{""FEN"":""8/8/3K4/8/2p1k3/2P5/8/8 w - - 0 50"",""Phase"":""pawnEndgame"",""Goal"":""crushing"",""Length"":""short"",""Moves"":""d6c5 e4e5 c5c4"",""Rating"":""656""}","{""FEN"":""8/8/3K4/8/2p1k3/2P5/8/8 w - - 0 50"",""Phase"":""fork"",""Phase"":""oneMove"",""Goal"":""mate"",""Moves"":""25""}"
08/19/24 18:33:38,0,100,json_err,"{""FEN"":""8/8/3N1K2/6P1/5pk1/3b4/8/8 b - - 1 79"",""Phase"":""endgame"",""Goal"":""crushing"",""Motif"":""advancedPawn"",""Length"":""short"",""Moves"":""f4f3 g5g6 f3f2"",""Rating"":""2078""}","{""FEN"":""8/8/3N1K2/6P1/5pk1/3b4/8/8 b - - 1 79"",""endgame"",""OpeningTags"":""endgame"",""Length"":""French "",""Length"":""e1 c8 f8"",""Rating"":""short"",""Rating"":""mateIn1"",""Rating"":""639""}"
08/19/24 18:33:44,0,100,json_err,"{""FEN"":""8/p7/8/B1p4B/2Pbkp2/1P1b4/P7/4K3 w - - 7 41"",""Phase"":""endgame"",""Goal"":""advantage"",""Motif"":""deflection skewer"",""Length"":""short"",""Moves"":""h5g6 e4f3 g6d3"",""Rating"":""876""}","{""FEN"":""8/p7/8/B1p4B/2Pbkp2/1P1b4/P7/4K3 w - - 7 41"",""Phase"":""OpeningTags"":""endgame"",""Moves"":""Ruy variations"",""Mate"":""backRankMatee1 e7g8f1f8 Defensee1"",""Rating"":""43092""}"
08/19/24 18:33:51,0,100,moves_err,"{""FEN"":""r3r1k1/1p3ppp/1np5/5b2/p1PPR3/bP1B1N1P/P2B2P1/5RK1 w - - 1 22"",""Phase"":""middlegame"",""Goal"":""crushing"",""Motif"":""discoveredAttack kingsideAttack"",""Length"":""short"",""Moves"":""e4e8 a8e8 d3f5"",""Rating"":""818""}","{""FEN"":""r3r1k1/1p3ppp/1np5/5b2/p1PPR3/bP1B1N1P/P2B2P1/5RK1 w - - 1 22"",""Phase"":""endgame"",""Goal"":""opening"",""Goal"":""mate"",""Rating"":""mateIn2"",""Mate"":""e6d1d8h7 e5d5 e1 h4"",""Rating"":""772""}"
08/19/24 18:33:58,0,100,moves_err,"{""FEN"":""2rr1k2/1b2qp1Q/p3p3/1p2P2p/1P1p1P2/P1NBP3/6PP/2R3K1 w - - 1 23"",""Phase"":""middlegame"",""Goal"":""mate"",""Length"":""oneMove"",""Mate"":""mateIn1"",""Moves"":""h7h8"",""Rating"":""692""}","{""FEN"":""2rr1k2/1b2qp1Q/p3p3/1p2P2p/1P1p1P2/P1NBP3/6PP/2R3K1 w - - 1 23"",""Phase"":""Sicilian 39"",""Phase"":""kingsideAttack"",""Goal"":""long"",""OpeningTags"":""mateIn2"",""Rating"":""kingsideAttack"",""Length"":""mateIn1/410 c4 Gambit Variation"",""Motif"":""advantage"",""Motif"":""short"",""Rating"":""mateIn2"",""Mate"":""795""}"
08/19/24 18:34:05,0,100,moves_err,"{""FEN"":""2R5/p1P1r3/8/5p2/5k1p/1P3p2/P6P/5K2 b - - 0 39"",""Phase"":""rookEndgame"",""Goal"":""crushing"",""Motif"":""defensiveMove"",""Length"":""long"",""Moves"":""f4e3 c8a8 e7c7 a8e8 e3f4"",""Rating"":""1965""}","{""FEN"":""2R5/p1P1r3/8/5p2/5k1p/1P3p2/P6P/5K2 b - - 0 39"",""Phase"":""advantage"",""OpeningTags"":""middlegame"",""Length"":""short"",""Mate"":""d8f8 c1g1f1f8"",""Rating"":""7""}"
08/19/24 18:34:12,0.0,100,,"{""FEN"":""r2q1rk1/1p3pbp/p1p1p3/8/3PQn2/2P2N2/PP3PP1/R3K2R w KQ - 0 18"",""Phase"":""middlegame"",""OpeningTags"":""Queens Pawn Game Mason Variation"",""Goal"":""mate"",""Motif"":""kingsideAttack"",""Length"":""oneMove"",""Mate"":""mateIn1"",""Moves"":""e4h7"",""Rating"":""1289""}","{""FEN"":""r2q1rk1/1p3pbp/p1p1p3/8/3PQn2/2P2N2/PP3PP1/R3K2R w KQ - 0 18"",""Phase"":""opening"",""OpeningTags"":""oneMove"",""Goal"":""backRankMate mateIn1"",""Length"":""mateIn1"",""Moves"":""mateIn2"",""Moves"":""f1 d1 a8"",""Moves"":""h3f7"",""Rating"":""e4d7h7"",""Mate"":""6""}"
08/19/24 18:34:19,0.0,100,,"{""FEN"":""r1bqk2r/1pp2Bp1/p1n4p/4p3/4Pn2/P2P1N1P/1PP3P1/RN1Q1RK1 b kq - 0 12"",""Phase"":""opening"",""OpeningTags"":""Italian Game Anti-Fried Liver Defense"",""Goal"":""advantage"",""Motif"":""hangingPiece"",""Length"":""short"",""Moves"":""e8f7 f3e5 c6e5"",""Rating"":""707""}","{""FEN"":""r1bqk2r/1pp2Bp1/p1n4p/4p3/4Pn2/P2P1N1P/1PP3P1/RN1Q1RK1 b kq - 0 12"",""Phase"":""crushing"",""OpeningTags"":""rookEndgame"",""Motif"":""mate"",""Motif"":""short"",""Length"":""c8f7f8"",""Moves"":""d1 mateIn2"",""Rating"":""d2d7f8"",""Rating"":""482553p1/62k1P1/p1/p1/2n/4P4PPPP5 w - 0 2"",""Phase"":""mate"",""Phase"":""short"",""Length"":""oneMove"",""Mate"":""c1"",""Rating"":""d3g6f6f3e5"",""Rating"":""62""}"
08/19/24 18:34:26,0,100,moves_err,"{""FEN"":""6k1/pb4p1/1p2p2p/3nBp2/3P3P/1Pq3P1/P2Q1PB1/6K1 w - - 1 29"",""Phase"":""endgame"",""Goal"":""crushing"",""Length"":""short"",""Moves"":""d2c3 d5c3 g2b7"",""Rating"":""1184""}","{""FEN"":""6k1/pb4p1/1p2p2p/3nBp2/3P3P/1Pq3P1/P2Q1PB1/6K1 w - - 1 29"",""Phase"":""endgame"",""Phase"":""sacrifice"",""Goal"":""mateIn1"",""Motif"":""g5f8 f7 quietMove"",""Motif"":""kingsideAttack"",""Length"":""e3 c4 d7 e8 d3c8"",""Rating"":""660""}"
08/19/24 18:34:33,0.0,100,,"{""FEN"":""r5Q1/1ppk1pp1/p2pq2p/2n5/P2R1P1B/7P/1P4P1/6K1 w - - 4 29"",""Phase"":""endgame"",""Goal"":""crushing"",""Motif"":""defensiveMove hangingPiece"",""Length"":""long"",""Moves"":""g8a8 e6e3 h4f2 e3c1 g1h2"",""Rating"":""1263""}","{""FEN"":""r5Q1/1ppk1pp1/p2pq2p/2n5/P2R1P1B/7P/1P4P1/6K1 w - - 4 29"",""Phase"":""knightEndgame"",""OpeningTags"":""fork"",""Length"":""oneMove"",""Motif"":""French mateIn2"",""Length"":""mateIn1"",""Mate"":""mate"",""Mate"":""short"",""Moves"":""mateIn1"",""Rating"":""76""}"
08/19/24 18:34:40,0.0,100,,"{""FEN"":""5bk1/2p4p/p1q1ppb1/1p4p1/3P2P1/n1P1PP1P/PRP1Q2B/4K2R b K - 6 23"",""Phase"":""middlegame"",""Goal"":""advantage"",""Motif"":""fork"",""Length"":""short"",""Moves"":""c6c3 e1f2 c3b2"",""Rating"":""1413""}","{""FEN"":""5bk1/2p4p/p1q1ppb1/1p4p1/3P2P1/n1P1PP1P/PRP1Q2B/4K2R b K - 6 23"",""Phase"":""middlegame"",""Motif"":""hangingPiece"",""Length"":""short"",""Moves"":""f2f1 g8c8g7h8 d8"",""Rating"":""762253""}"
08/19/24 18:34:47,0.0,100,,"{""FEN"":""4nk2/pp3ppb/1qp4p/5P2/2pP4/P1B1Q1PP/1P4B1/6K1 w - - 2 28"",""Phase"":""endgame"",""Goal"":""crushing"",""Length"":""short"",""Moves"":""c3b4 b6b4 a3b4"",""Rating"":""987""}","{""FEN"":""4nk2/pp3ppb/1qp4p/5P2/2pP4/P1B1Q1PP/1P4B1/6K1 w - - 2 28"",""Phase"":""mate"",""Length"":""Queens Main variations"",""Motif"":""discoveredAttack"",""Length"":""short"",""Rating"":""short"",""Moves"":""mateIn2"",""Moves"":""e5c4 d2 h7f7e7 a1a1e1h2"",""Rating"":""e4c8"",""Rating"":""887""}"
08/19/24 18:34:54,0.0,100,,"{""FEN"":""r1bqkb1r/pp3ppp/2n5/3pN3/3P1B2/2Q5/PP2PPPP/R3KB1R b KQkq - 0 9"",""Phase"":""opening"",""OpeningTags"":""Slav Defense Other variations"",""Goal"":""crushing"",""Motif"":""pin"",""Length"":""short"",""Moves"":""f8b4 e5c6 b4c3"",""Rating"":""1464""}","{""FEN"":""r1bqkb1r/pp3ppp/2n5/3pN3/3P1B2/2Q5/PP2PPPP/R3KB1R b KQkq - 0 9"",""Phase"":""endgame"",""OpeningTags"":""Queens - kingsideAttack"",""Goal"":""mate"",""Length"":""mateIn1"",""Mate"":""mateIn1"",""Moves"":""mateIn1"",""Moves"":""h5d4"",""Rating"":""877"",""Length"":""advantage"",""Moves"":""oneMove"",""Phase"":""advantage"",""Goal"":""mate"",""Goal"":""mate"",""Phase"":""kingsideAttack"",""Phase"":""mate"",""Goal"":""short"",""Goal"":""attackingF2F7"",""Goal"":""short"",""Mate"":""short"",""Motif"":""backRankMate mateIn2"",""Mate"":""d6d3 mateIn2"",""Mate"":""f5e6c2"",""Moves"":""896299398233462""}"
08/19/24 18:35:01,0,100,moves_err,"{""FEN"":""8/3k2p1/1p1P3p/3KPP1b/2P5/8/8/8 w - - 0 44"",""Phase"":""endgame"",""Goal"":""crushing"",""Motif"":""advancedPawn"",""Length"":""veryLong"",""Moves"":""e5e6 d7c8 d5c6 h5f3 c6b6 f3e4 e6e7"",""Rating"":""2324""}","{""FEN"":""8/3k2p1/1p1P3p/3KPP1b/2P5/8/8/8 w - - 0 44"",""Phase"":""endgame"",""OpeningTags"":""French queensideAttack"",""Goal"":""mate"",""Length"":""short"",""Motif"":""mateIn2"",""Mate"":""d7 e2 a1"",""Mate"":""d3f8 g3h7 f8"",""Rating"":""50""}"
08/19/24 18:35:08,0.0,100,,"{""FEN"":""3r1rk1/6bp/p5bq/1pQ2p2/4BN2/2P1NnPP/PP3P2/R4R1K b - - 0 24"",""Phase"":""middlegame"",""Goal"":""advantage"",""Motif"":""hangingPiece"",""Length"":""veryLong"",""Moves"":""f5e4 e3g4 h6g5 c5g5 f3g5 f4g6 h7g6"",""Rating"":""2043""}","{""FEN"":""3r1rk1/6bp/p5bq/1pQ2p2/4BN2/2P1NnPP/PP3P2/R4R1K b - - 0 24"",""Phase"":""endgame"",""Goal"":""short"",""Mate"":""short"",""Mate"":""d2e1 g8"",""Moves"":""e8"",""Rating"":""79""}"
08/19/24 18:35:15,0.0,100,,"{""FEN"":""4r2k/1pp3pp/p2b1r2/3QNq2/8/N1P5/PP3PPP/R3R1K1 b - - 0 17"",""Phase"":""middlegame"",""OpeningTags"":""Nimzowitsch Defense Scandinavian Variation"",""Goal"":""crushing"",""Motif"":""intermezzo kingsideAttack"",""Length"":""long"",""Moves"":""f5f2 g1h1 e8e5 d5e5 d6e5"",""Rating"":""2055""}","{""FEN"":""4r2k/1pp3pp/p2b1r2/3QNq2/8/N1P5/PP3PPP/R3R1K1 b - - 0 17"",""Phase"":""endgame"",""OpeningTags"":""Scandinavian Exchange Opening Variation"",""Goal"":""mate"",""Goal"":""kingsideAttack"",""Length"":""oneMove"",""Moves"":""e6"",""Rating"":""crushing"",""Rating"":""41""}"
08/19/24 18:35:22,0.0,100,,"{""FEN"":""2br3k/p1r4p/1p6/2p1p1q1/2P1Bn2/P2PQ1N1/1P4PP/3R1RK1 b - - 9 32"",""Phase"":""middlegame"",""Goal"":""crushing"",""Motif"":""discoveredAttack kingsideAttack"",""Length"":""short"",""Moves"":""f4h3 g1h1 g5e3"",""Rating"":""1114""}","{""FEN"":""2br3k/p1r4p/1p6/2p1p1q1/2P1Bn2/P2PQ1N1/1P4PP/3R1RK1 b - - 9 32"",""Phase"":""middlegame"",""OpeningTags"":""Scandinavian Vienna Opening variations"",""Goal"":""mate"",""Length"":""fork"",""Mate"":""mateIn1"",""Mate"":""backRankMate b8e2g2"",""Moves"":""d1 e3c8f8f1"",""Rating"":""423""}"
08/19/24 18:35:29,0.0,100,,"{""FEN"":""r2q1r1k/ppp3pB/1n2p3/8/2Pb2b1/P1N1B3/1PQ3PP/R4RK1 w - - 0 17"",""Phase"":""middlegame"",""OpeningTags"":""Alekhine Defense Four Pawns Attack"",""Goal"":""crushing"",""Motif"":""kingsideAttack"",""Length"":""short"",""Moves"":""f1f8 d8f8 e3d4"",""Rating"":""1332""}","{""FEN"":""r2q1r1k/ppp3pB/1n2p3/8/2Pb2b1/P1N1B3/1PQ3PP/R4RK1 w - - 0 17"",""Phase"":""middlegame"",""Goal"":""hangingPiece"",""Motif"":""advantage"",""Mate"":""oneMove"",""Mate"":""mateIn1"",""Moves"":""d1e8e1e8e1"",""Rating"":""75""}"
08/19/24 18:35:36,0.0,100,,"{""FEN"":""R7/1r3qkp/3p4/1b6/1P2P3/2bpQP2/5KP1/7R w - - 6 29"",""Phase"":""middlegame"",""Goal"":""mate"",""Length"":""oneMove"",""Mate"":""mateIn1"",""Moves"":""e3h6"",""Rating"":""1561""}","{""FEN"":""R7/1r3qkp/3p4/1b6/1P2P3/2bpQP2/5KP1/7R w - - 6 29"",""Phase"":""endgame"",""OpeningTags"":""Scotch mateIn2"",""Motif"":""kingsideAttack"",""Length"":""short"",""Moves"":""d4b1 f7 c3d8 d4d8qqe1"",""Rating"":""40""}"
08/19/24 18:35:43,0.0,100,,"{""FEN"":""1r3Q2/K1k1B3/3bB3/1ppP1P1r/8/4p3/PP5p/2R5 b - - 0 43"",""Phase"":""middlegame"",""Goal"":""crushing"",""Length"":""short"",""Moves"":""b8f8 e7d6 c7d6"",""Rating"":""1394""}","{""FEN"":""1r3Q2/K1k1B3/3bB3/1ppP1P1r/8/4p3/PP5p/2R5 b - - 0 43"",""Phase"":""endgame"",""OpeningTags"":""Ruy Chigorin Pawn variations"",""Goal"":""mate"",""Mate"":""long"",""Moves"":""d2d1e1 h1 g7e2"",""Rating"":""798""}"
08/19/24 18:35:50,0.0,100,,"{""FEN"":""rn1q1rk1/ppp2pp1/3b1n1p/8/2P5/2NQPN1P/PP3PP1/R1B2RK1 b - - 1 11"",""Phase"":""opening"",""OpeningTags"":""Indian Defense Budapest Defense"",""Goal"":""crushing"",""Motif"":""discoveredAttack"",""Length"":""short"",""Moves"":""d6h2 f3h2 d8d3"",""Rating"":""1075""}","{""FEN"":""rn1q1rk1/ppp2pp1/3b1n1p/8/2P5/2NQPN1P/PP3PP1/R1B2RK1 b - - 1 11"",""Phase"":""middlegame"",""OpeningTags"":""Italian fork"",""Goal"":""mate"",""Length"":""oneMove"",""Mate"":""mateIn1"",""Moves"":""f4"",""Moves"":""a1 a1g1"",""Rating"":""889""}"
08/19/24 18:35:57,0.0,100,,"{""FEN"":""3r2k1/ppp2ppp/2n4q/2p1P3/2b2P2/N1P1Q3/PP4PP/R2r1RK1 w - - 0 18"",""Phase"":""middlegame"",""OpeningTags"":""Scotch Game Classical Variation"",""Goal"":""advantage"",""Length"":""short"",""Moves"":""f1d1 d8d1 a1d1"",""Rating"":""1744""}","{""FEN"":""3r2k1/ppp2ppp/2n4q/2p1P3/2b2P2/N1P1Q3/PP4PP/R2r1RK1 w - - 0 18"",""Phase"":""middlegame"",""OpeningTags"":""French oneMove"",""Motif"":""mate"",""Motif"":""kingsideAttack Old kingsideAttack"",""Length"":""oneMove"",""Moves"":""492""}"
